Bernard Berrian,CHI,WR,26,15,14,0,0,0,0,0,2,5,2.50,0,102,51,775,15.20,6,2,0,6,0,0,114,163.0,167.0,137.5,0,34,0
Joey Harrington,MIA,QB,28,11,11,223,388,2236,12,15,19,24,1.26,0,0,0,0,0,0,4,0,0,0,2,114,109.8,129.8,124.8,0,29,0
Devery Henderson,NOR,WR,24,13,7,0,0,0,0,0,2,14,7.00,1,54,32,745,23.28,5,0,0,6,0,0,112,143.9,146.9,127.9,0,35,0
Brandon Jacobs,NYG,RB,24,15,0,0,0,0,0,0,96,423,4.41,9,14,11,149,13.55,0,2,0,9,0,0,111,120.2,127.2,114.7,0,36,0
Clinton Portis,WAS,RB,25,8,7,0,0,0,0,0,127,523,4.12,7,26,17,170,10.00,0,0,0,7,0,0,111,128.3,134.3,119.8,0,35,0
Keyshawn Johnson,CAR,WR,34,16,16,0,1,0,0,1,1,4,4.00,1,128,70,815,11.64,4,1,0,5,0,0,110,178.9,183.4,144.9,0,36,0
Cedric Benson,CHI,RB,24,15,0,0,0,0,0,0,157,647,4.12,6,10,8,54,6.75,0,0,0,6,0,0,106,114.1,117.1,110.1,0,37,0
Cadillac Williams,TAM,RB,24,14,14,0,0,0,0,0,225,798,3.55,1,44,30,196,6.53,0,3,0,1,0,0,105,132.4,139.9,117.4,0,38,0
Mark Brunell,WAS,QB,36,10,9,162,260,1789,8,4,13,34,2.62,0,0,0,0,0,0,5,0,0,0,2,103,98.0,107.5,102.0,0,30,0
Reche Caldwell,NWE,WR,27,16,14,0,0,0,0,0,1,5,5.00,0,102,61,760,12.46,4,2,0,4,1,0,103,161.5,165.5,131.0,0,38,0
Donte' Stallworth,PHI,WR,26,12,11,0,0,0,0,0,0,0,0,0,70,38,725,19.08,5,0,0,5,0,0,103,140.5,143.5,121.5,0,37,0
Chris Chambers,MIA,WR,28,16,16,0,0,0,0,0,8,95,11.88,0,154,59,677,11.47,4,0,0,4,0,0,101,160.2,163.2,130.7,0,39,0
Bruce Gradkowski,TAM,QB,23,13,11,177,328,1661,9,9,41,161,3.93,0,0,0,0,0,0,11,0,0,0,0,101,89.5,110.0,98.5,0,31,0
Deion Branch,SEA,WR,27,14,13,0,0,0,0,0,4,30,7.50,0,101,53,725,13.68,4,0,0,4,0,0,100,152.5,155.5,126.0,0,40,0
